Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),RZ Thrust,Forward Thrust,WP Lat,WP Lon,Bearing to WP,Wind Speed (knots),Wind Angle (deg)
2025-04-19 13:00:12,50.016682466666666,-4.000006233333333,0.199999364992,337.6,401.7001405749924,-40.372852557929264,-0.07659524795355033,-20.0,0.5,50.01833333333333,-4.005,297.22714744207076,0.16,2.4
2025-04-19 13:00:14,50.0166837,-4.0000070333333335,0.199999364992,337.4,401.5864538224103,-40.18653567492987,-0.17247891618256087,-20.0,0.5,50.01833333333333,-4.005,297.2134643250701,,
2025-04-19 13:00:15,50.016684866666665,-4.000007783333333,0.199999364992,336.8,401.4793632542055,-39.59951781875549,-0.26340087140727286,-20.0,0.5,50.01833333333333,-4.005,297.2004821812445,,
2025-04-19 13:00:17,50.01668586666667,-4.000008466666666,0.199999364992,336.2,401.3850124167843,-39.010462071503184,-0.34000895218286237,-20.0,0.5,50.01833333333333,-4.005,297.1895379284968,,
2025-04-19 13:00:21,50.0166889,-4.00001065,0.199999364992,334.1,401.09186827661574,-36.94317561528476,-0.5687676600009579,-20.0,0.5,50.01833333333333,-4.005,297.15682438471526,,
2025-04-19 13:00:25,50.016692066666664,-4.00001315,0.199999364992,332.1,400.7719280676375,-34.97634942880842,-0.8003570154386985,-20.0,0.5,50.01833333333333,-4.005,297.1236505711916,,
2025-04-19 13:00:29,50.01669543333333,-4.00001605,0.199999364992,329.9,400.41651066758385,-32.81054834680532,-1.0386475342188946,-20.0,0.5,50.01833333333333,-4.005,297.08945165319466,,
2025-04-19 13:00:31,50.01669675,-4.000017266666666,0.199999364992,329.1,400.2722946669766,-32.02355522393083,-1.1291393794473839,-20.0,0.5,50.01833333333333,-4.005,297.0764447760692,,
2025-04-19 13:00:32,50.016697883333336,-4.000018333333333,0.199999364992,328.3,400.146939601594,-31.23466808760503,-1.2063957139538457,-20.0,0.5,50.01833333333333,-4.005,297.065331912395,,
2025-04-19 13:00:35,50.01670026666667,-4.0000207,0.199999364992,326.8,399.8755044151213,-29.757485002936846,-1.3648173943425848,-20.0,0.5,50.01833333333333,-4.005,297.04251499706317,,
2025-04-19 13:00:40,50.016704516666664,-4.000025216666667,0.199999364992,324.1,399.3727449001093,-27.096868777892382,-1.6376151009949653,-20.0,0.5,50.01833333333333,-4.005,297.00313122210764,,
2025-04-19 13:00:43,50.01670693333333,-4.00002805,0.199999364992,322.6,399.0700520647752,-25.61807305732168,-1.7840592832899964,-20.0,0.5,50.01833333333333,-4.005,296.98192694267834,,
2025-04-19 13:00:44,50.01670828333334,-4.000029666666666,0.199999364992,321.7,398.8988237523542,-24.72977424256237,-1.8647560235521217,-20.0,0.5,50.01833333333333,-4.005,296.9702257574376,0.23,3.3
2025-04-19 13:00:46,50.01670983333333,-4.000031616666667,0.199999364992,320.7,398.69626659014205,-23.742784181626064,-1.9543363188774898,-20.0,0.5,50.01833333333333,-4.005,296.9572158183739,,
2025-04-19 13:00:49,50.0167122,-4.0000347,0.199999364992,319.2,398.3802714467476,-22.2621808158745,-2.0876476466682274,-20.0,0.5,50.01833333333333,-4.005,296.9378191841255,,
2025-04-19 13:00:51,50.01671375,-4.000036816666666,0.199999364992,318.2,398.16713623454206,-21.274447488940666,-2.171771959834901,-20.0,0.5,50.01833333333333,-4.005,296.9255525110593,,
2025-04-19 13:00:52,50.0167151,-4.00003875,0.299999047488,317.3,397.97579059201047,-20.384723600055167,-2.242102331915295,-20.0,0.5,50.01833333333333,-4.005,296.91527639994484,0.25,3.3
2025-04-19 13:00:54,50.0167164,-4.000040633333334,0.299999047488,316.5,397.7901658199236,-19.594527747154928,-2.309120618637131,-20.0,0.5,50.01833333333333,-4.005,296.9054722528451,,
2025-04-19 13:00:55,50.016717766666666,-4.0000427,0.299999047488,315.5,397.58950023833654,-18.604440088385616,-2.3767358314052993,-20.0,0.5,50.01833333333333,-4.005,296.8955599116144,,
2025-04-19 13:00:57,50.016719083333335,-4.000044716666666,0.299999047488,314.7,397.3945534952762,-17.813879832154782,-2.4410389588149095,-20.0,0.5,50.01833333333333,-4.005,296.8861201678452,,
2025-04-19 13:00:59,50.016720383333336,-4.0000468,0.299999047488,313.8,397.19620275228783,-16.92277919785505,-2.5015100660965635,-20.0,0.5,50.01833333333333,-4.005,296.87722080214496,,
2025-04-19 13:01:00,50.01672153333333,-4.0000486833333335,0.299999047488,313.0,397.01816979142626,-16.130470742275634,-2.553681710777839,-20.0,0.5,50.01833333333333,-4.005,296.86952925772437,,
2025-04-19 13:01:02,50.016722783333336,-4.000050816666667,0.299999047488,312.1,396.81916119884005,-15.238436607533913,-2.6075671429953813,-20.0,0.5,50.01833333333333,-4.005,296.8615633924661,,
2025-04-19 13:01:03,50.01672405,-4.00005305,0.299999047488,311.2,396.6129405791172,-14.346182892538252,-2.6598286117465544,-20.0,0.5,50.01833333333333,-4.005,296.85381710746174,0.26,3.4
2025-04-19 13:01:05,50.01672528333334,-4.000055233333334,0.299999047488,310.4,396.411593963897,-13.5536921227623,-2.710427622110707,-20.0,0.5,50.01833333333333,-4.005,296.8463078772377,,
2025-04-19 13:01:09,50.01672816666667,-4.00006075,0.299999047488,308.2,395.9145822251078,-11.369350943541974,-2.815220031090393,-20.0,0.5,50.01833333333333,-4.005,296.830649056458,,
2025-04-19 13:01:10,50.0167292,-4.000062783333333,0.299999047488,307.4,395.73287828349936,-10.574709450813089,-2.8509339038191315,-20.0,0.5,50.01833333333333,-4.005,296.8252905491869,,
2025-04-19 13:01:12,50.016730366666664,-4.000065183333334,0.299999047488,306.5,395.52107471740146,-9.680277760402191,-2.8878416285533097,-20.0,0.5,50.01833333333333,-4.005,296.8197222395978,,
2025-04-19 13:01:13,50.0167315,-4.0000676,0.299999047488,305.6,395.3098848023604,-8.785294114894043,-2.920904501773122,-20.0,0.5,50.01833333333333,-4.005,296.814705885106,0.26,3.4
2025-04-19 13:01:15,50.01673263333333,-4.000070133333334,0.299999047488,304.7,395.0912498117137,-7.889770083094845,-2.95014818698374,-20.0,0.5,50.01833333333333,-4.005,296.81022991690514,,
2025-04-19 13:01:16,50.016733716666664,-4.0000726,0.299999047488,303.8,394.87938354045764,-6.9938421673585935,-2.976625384436165,-20.0,0.5,50.01833333333333,-4.005,296.8061578326414,,
2025-04-19 13:01:18,50.016734766666666,-4.000075083333333,0.299999047488,302.9,394.6681283668707,-6.097359775491327,-2.9992577303742247,-20.0,0.5,50.01833333333333,-4.005,296.80264022450865,,
2025-04-19 13:01:20,50.01673593333334,-4.00007795,0.299999047488,301.9,394.426544490834,-5.1007695563711195,-3.020888703774898,-20.0,0.5,50.01833333333333,-4.005,296.79923044362886,,
2025-04-19 13:01:23,50.0167378,-4.0000828,0.299999047488,300.2,394.02319944955934,-3.4049994082507737,-3.046877807407092,-20.0,0.5,50.01833333333333,-4.005,296.7950005917492,,
2025-04-19 13:01:27,50.01674018333333,-4.000089466666667,0.299999047488,297.9,393.4779353183126,-1.1081865768766193,-3.0645351296138528,-20.0,0.5,50.01833333333333,-4.005,296.79181342312336,,
2025-04-19 13:01:29,50.01674118333333,-4.00009245,0.299999047488,296.9,393.2372687902163,-0.1086522669131682,-3.0658506459932315,10.0,0.5,50.01833333333333,-4.005,296.7913477330868,,
2025-04-19 13:01:30,50.01674203333334,-4.0000952,0.299999047488,295.5,393.0190274323848,1.291957917718264,-3.0599578977860733,40.0,0.5,50.01833333333333,-4.005,296.79195791771826,0.26,3.4
2025-04-19 13:01:33,50.01674346666667,-4.0001001333333335,0.299999047488,293.9,392.6321080659932,2.894381275107662,-3.040328712243695,100.0,0.5,50.01833333333333,-4.005,296.79438127510764,,
2025-04-19 13:01:35,50.016744366666664,-4.000103816666667,0.299999047488,288.4,392.3517658686826,8.398662799589317,-3.0088313394128763,100.0,0.5,50.01833333333333,-4.005,296.7986627995893,,
2025-04-19 13:01:38,50.01674706666667,-4.000109283333333,0.399998729984,332.5,391.8672341175086,-35.71479037782598,-3.0971146486973353,-20.0,0.5,50.01833333333333,-4.005,296.785209622174,,
2025-04-19 13:01:39,50.01674953333333,-4.000110083333333,0.299999047488,2.2,391.69246931731027,-65.44687513889596,-3.3150707022709565,-20.0,0.5,50.01833333333333,-4.005,296.753124861104,0.32,356.7
2025-04-19 13:01:41,50.016751666666664,-4.000109666666667,0.299999047488,10.8,391.6122462804453,-74.07986370090009,-3.539862894229823,-20.0,0.5,50.01833333333333,-4.005,296.7201362990999,,
2025-04-19 13:01:43,50.01675398333333,-4.000108883333334,0.299999047488,13.1,391.54642204461175,-76.4172574687833,-3.794804143800278,-20.0,0.5,50.01833333333333,-4.005,296.6827425312167,,
2025-04-19 13:01:44,50.01675598333333,-4.000108133333334,0.299999047488,13.6,391.4944438538015,-76.94989616270368,-4.017311287146421,-20.0,0.5,50.01833333333333,-4.005,296.65010383729634,0.28,356.3
2025-04-19 13:01:46,50.01675803333333,-4.000107366666667,0.299999047488,13.5,391.44116486138967,-76.8833500377321,-4.2453129090075405,-20.0,0.5,50.01833333333333,-4.005,296.6166499622679,,
2025-04-19 13:01:49,50.016761566666666,-4.000106083333334,0.299999047488,12.9,391.34721158814,-76.34085345720018,-4.63704486626934,-20.0,0.5,50.01833333333333,-4.005,296.5591465427998,,
2025-04-19 13:01:50,50.01676363333333,-4.00010535,0.299999047488,12.4,391.2913336439043,-75.87441942394179,-4.865604918523787,-20.0,0.5,50.01833333333333,-4.005,296.5255805760582,0.28,358.7
2025-04-19 13:01:52,50.01676558333333,-4.0001047,0.299999047488,11.9,391.23604865048617,-75.40590338180067,-5.079889591249764,-20.0,0.5,50.01833333333333,-4.005,296.4940966181993,,
2025-04-19 13:01:55,50.01676918333333,-4.000103566666667,0.299999047488,11.0,391.1300245307797,-74.56374001406948,-5.473309671107031,-20.0,0.5,50.01833333333333,-4.005,296.4362599859305,,
2025-04-19 13:01:56,50.01677118333333,-4.000102983333333,0.299999047488,10.4,391.0683284271498,-73.99566928525604,-5.6903608315912,-20.0,0.5,50.01833333333333,-4.005,296.40433071474394,0.28,0.7
2025-04-19 13:01:58,50.0167732,-4.000102433333334,0.299999047488,9.8,391.0037934861685,-73.42769702440046,-5.9079704224396234,-20.0,0.5,50.01833333333333,-4.005,296.37230297559955,,
2025-04-19 13:02:01,50.01677671666667,-4.000101533333333,0.299999047488,8.7,390.88776107604707,-72.3832976925757,-6.2855039921531635,-20.0,0.5,50.01833333333333,-4.005,296.3167023074243,,
2025-04-19 13:02:02,50.01677873333333,-4.000101083333333,0.299999047488,8.0,390.81714718474615,-71.7148903437,-6.499839992592755,-20.0,0.5,50.01833333333333,-4.005,296.2851096563,0.27,2.1
2025-04-19 13:02:04,50.016780733333334,-4.00010065,0.299999047488,7.2,390.7464036698045,-70.94617310446034,-6.711980768460443,-20.0,0.5,50.01833333333333,-4.005,296.25382689553965,,
2025-04-19 13:02:08,50.0167858,-4.0000998,0.299999047488,5.2,390.5518024683279,-69.0243266590407,-7.241292838986124,-20.0,0.5,50.01833333333333,-4.005,296.1756733409593,,
2025-04-19 13:02:09,50.016787783333335,-4.000099533333334,0.299999047488,4.3,390.4715823729708,-68.15463536180675,-7.446328005020303,-20.0,0.5,50.01833333333333,-4.005,296.14536463819326,,
2025-04-19 13:02:11,50.01678976666667,-4.000099333333333,0.299999047488,3.5,390.3871897622179,-67.38464849400572,-7.64918077792714,-20.0,0.5,50.01833333333333,-4.005,296.1153515059943,,
2025-04-19 13:02:13,50.01679203333333,-4.000099133333333,0.299999047488,2.5,390.28903668997594,-66.41883321778386,-7.880077206507926,-20.0,0.5,50.01833333333333,-4.005,296.08116678221614,,
