Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),RZ Thrust,Forward Thrust,WP Lat,WP Lon,Bearing to WP,Wind Speed (knots),Wind Angle (deg)
2025-04-19 00:41:31,50.016664866666666,-4.0,0.0,0.0,402.9959259682169,-62.554161938473726,-0.0,-20.0,1.0,50.01833333333333,-4.005,297.4458380615263,,
2025-04-19 00:41:32,50.016664866666666,-3.9999999833333333,0.0,51.1,402.99698395302113,-113.65424004778433,-0.0005494384670020625,-20.0,1.0,50.01833333333333,-4.005,297.44575995221567,,
2025-04-19 00:41:34,50.016664883333334,-3.99999995,0.0,36.5,402.99824479733013,-99.05463035510758,-0.003294852673519636,-20.0,1.0,50.01833333333333,-4.005,297.4453696448924,,
2025-04-19 00:41:35,50.01666491666667,-3.999999933333333,0.0,24.1,402.99759255625395,-86.65517664469019,-0.007137365685548595,-20.0,1.0,50.01833333333333,-4.005,297.44482335530984,,
2025-04-19 00:41:37,50.01666495,-3.999999916666667,0.0,17.0,402.9969403518135,-79.55572293599636,-0.010979877980976573,-20.0,1.0,50.01833333333333,-4.005,297.44427706400364,,
2025-04-19 00:41:41,50.01666515,-3.99999985,0.0,6.0,402.99091183425656,-68.55884452576657,-0.0329360777152242,-20.0,1.0,50.01833333333333,-4.005,297.4411554742334,,
2025-04-19 00:41:46,50.016665616666664,-3.9999998166666666,0.0,359.8,402.9690905723515,-62.36555598742211,-0.08013799406783888,-20.0,1.0,50.01833333333333,-4.005,297.4344440125779,0.03,358.7
2025-04-19 00:41:50,50.01666625,-3.9999998666666667,0.0,356.7,402.933438111414,-59.27421946057092,-0.1410580901086167,-20.0,1.0,50.01833333333333,-4.005,297.42578053942907,,
2025-04-19 00:41:54,50.016667166666664,-3.9999999666666666,0.099999682496,354.3,402.88009764101673,-56.88663202079891,-0.22832100158791296,-20.0,1.0,50.01833333333333,-4.005,297.4133679792011,,
2025-04-19 00:41:55,50.01666766666666,-4.000000066666667,0.099999682496,353.5,402.8481243758578,-56.09319107042404,-0.27442048474953806,-20.0,1.0,50.01833333333333,-4.005,297.40680892957596,,
2025-04-19 00:41:57,50.01666815,-4.00000015,0.099999682496,352.7,402.8180686408236,-55.29959489450363,-0.3194228698222527,-20.0,1.0,50.01833333333333,-4.005,297.40040510549636,0.08,0.2
2025-04-19 00:42:02,50.01667028333333,-4.000000683333333,0.099999682496,349.3,402.6749551361539,-51.92709706514023,-0.512597592269443,-20.0,1.0,50.01833333333333,-4.005,297.3729029348598,0.1,0.9
2025-04-19 00:42:03,50.01667106666667,-4.000000933333333,0.099999682496,348.3,402.6189879153793,-50.93694704101546,-0.5817432607695351,-20.0,1.0,50.01833333333333,-4.005,297.36305295898455,,
2025-04-19 00:42:06,50.01667261666667,-4.000001466666666,0.099999682496,346.7,402.50582345651355,-49.35626474537975,-0.7172891835924817,-20.0,1.0,50.01833333333333,-4.005,297.34373525462024,,
2025-04-19 00:42:08,50.0166736,-4.000001816666667,0.099999682496,345.7,402.43331446687887,-48.368471235864604,-0.8028966664548397,-20.0,1.0,50.01833333333333,-4.005,297.3315287641354,0.13,1.5
2025-04-19 00:42:09,50.016674583333334,-4.000002233333333,0.099999682496,344.8,402.3565869751202,-47.48037052233991,-0.8863063961804307,-20.0,1.0,50.01833333333333,-4.005,297.3196294776601,,
