Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),RZ Thrust,Forward Thrust,WP Lat,WP Lon,Bearing to WP,Wind Speed (knots),Wind Angle (deg)
2025-04-16 15:26:35,50.01684696666667,-4.00056795,4.9999841248,296.4,357.60057838551194,1.1631318227348402,0.5724704039943528,3.4265900039070316,84.7,50.01833333333333,-4.005,297.5631318227348,6.13,17.5
2025-04-16 15:26:37,50.0168614,-4.00061275,4.9999841248,297.1,354.0162953369936,0.47255985733841044,0.6250703847422241,2.544087716304991,84.7,50.01833333333333,-4.005,297.57255985733843,,
2025-04-16 15:26:38,50.01687885,-4.000664633333334,4.9999841248,298.0,349.8274556063338,-0.42815090188429394,0.6134300768348111,1.1558351385985737,84.7,50.01833333333333,-4.005,297.5718490981157,6.19,15.8
2025-04-16 15:26:40,50.01689436666667,-4.00070915,4.9999841248,298.7,346.2053292332186,-1.1376631515779536,0.5496815916679991,-0.09789738760569211,84.7,50.01833333333333,-4.005,297.56233684842204,,
2025-04-16 15:26:41,50.01691193333333,-4.00075905,4.9999841248,298.6,342.1362593113874,-1.051433921996022,0.46107847201112834,-0.2293394734137537,84.7,50.01833333333333,-4.005,297.548566078004,6.22,15.8
2025-04-16 15:26:43,50.016927233333334,-4.000803283333333,4.9999841248,298.0,338.54328094396607,-0.4593769432016188,0.40938143882722655,0.5087579570461271,84.7,50.01833333333333,-4.005,297.5406230567984,,
2025-04-16 15:26:44,50.01694461666666,-4.0008547666666665,4.9999841248,297.4,334.38324996081377,0.1383418275514714,0.391127810720323,1.3534752147010554,84.7,50.01833333333333,-4.005,297.53834182755145,6.2,16.6
2025-04-16 15:26:46,50.01695938333334,-4.000899516666666,4.9999841248,297.1,330.7849590471671,0.44217982021058333,0.4091549937832509,1.8637818761368334,84.7,50.01833333333333,-4.005,297.5421798202106,,
2025-04-16 15:26:47,50.0169764,-4.0009513,4.9999841248,297.1,326.6247782598262,0.4479539475336196,0.437015175454371,1.9545125394323304,84.7,50.01833333333333,-4.005,297.54795394753364,6.19,16.5
2025-04-16 15:26:49,50.01699153333333,-4.000997,4.9999841248,297.4,322.94736644372284,0.15114728639053965,0.45017208434501527,1.5472725554938442,84.7,50.01833333333333,-4.005,297.5511472863905,,
2025-04-16 15:26:50,50.017008733333334,-4.00104795,4.9999841248,297.9,318.8306001316244,-0.35102533522945123,0.43242889469503504,0.7405637591661443,84.7,50.01833333333333,-4.005,297.5489746647705,6.2,15.9
2025-04-16 15:26:52,50.01702401666667,-4.001092783333333,4.9999841248,298.0,315.2004314684522,-0.4556432181257719,0.4021749111744185,0.49424958333041036,84.7,50.01833333333333,-4.005,297.5443567818742,,
2025-04-16 15:26:53,50.01704133333333,-4.001143683333333,4.9999841248,297.8,311.0808349295897,-0.26038454996916016,0.3712589110817171,0.6965495517401803,84.7,50.01833333333333,-4.005,297.53961545003085,6.21,16.1
2025-04-16 15:26:55,50.017056483333334,-4.001188666666667,4.9999841248,297.5,307.4480204150238,0.03814832209860697,0.3591233737231131,1.109596367664659,84.7,50.01833333333333,-4.005,297.5381483220986,,
2025-04-16 15:26:56,50.017073466666666,-4.001239866666666,4.9999841248,297.2,303.3265564253323,0.34129104303394797,0.37102887757090103,1.6003448501548838,84.7,50.01833333333333,-4.005,297.54129104303394,6.2,16.4
2025-04-16 15:26:58,50.0170884,-4.001285083333333,4.9999841248,297.2,299.69009787273336,0.3453708420036037,0.38799211992463534,1.656460416225534,84.7,50.01833333333333,-4.005,297.5453708420036,,
2025-04-16 15:26:59,50.01710538333333,-4.001336283333333,4.9999841248,297.4,295.5686382388617,0.1486975752686135,0.3998976237724323,1.3960995686064899,84.7,50.01833333333333,-4.005,297.5486975752686,6.19,16.1
2025-04-16 15:27:01,50.01712045,-4.0013813166666665,4.9999841248,297.6,291.93694576671004,-0.05079423352998447,0.39764259169150246,1.0895923063918116,84.7,50.01833333333333,-4.005,297.54920576647004,,
2025-04-16 15:27:02,50.017137633333334,-4.0014323166666665,4.9999841248,297.7,287.81787560141385,-0.1525687083509979,0.38319529634587896,0.8940026894585094,84.7,50.01833333333333,-4.005,297.547431291649,6.2,16.0
2025-04-16 15:27:05,50.017167883333336,-4.00152235,4.9999841248,297.5,280.5506029522967,0.045881174746796205,0.3660623355560325,1.1410983848021838,84.7,50.01833333333333,-4.005,297.5458811747468,,
2025-04-16 15:27:07,50.017184566666664,-4.0015725,4.9999841248,297.3,276.5111845639047,0.2483861690062099,0.372954020533404,1.4663715038950502,84.7,50.01833333333333,-4.005,297.5483861690062,,
2025-04-16 15:27:08,50.0172017,-4.0016242,4.9999841248,297.3,272.3503001501296,0.2524096622796037,0.38654156278734586,1.5125730857939286,84.7,50.01833333333333,-4.005,297.5524096622796,6.19,16.2
2025-04-16 15:27:10,50.0172167,-4.001669316666667,4.9999841248,297.4,268.7167619073165,0.15500501851471427,0.39362071136727017,1.3869501933517108,84.7,50.01833333333333,-4.005,297.5550050185147,,
2025-04-16 15:27:11,50.017233966666666,-4.001720916666667,4.9999841248,297.6,264.5553566457289,-0.044314359028305716,0.3907395488741387,1.0790495896498988,84.7,50.01833333333333,-4.005,297.5556856409717,6.2,16.0
2025-04-16 15:27:13,50.0172488,-4.001764866666667,4.9999841248,297.7,261.00438799983056,-0.14645881238783431,0.37578625934931525,0.8814008124423318,84.7,50.01833333333333,-4.005,297.55354118761215,,
2025-04-16 15:27:14,50.017266316666664,-4.001816883333333,4.9999841248,297.6,256.80368806421546,-0.04820972495645037,0.36196065013821055,0.988312925671675,84.7,50.01833333333333,-4.005,297.5517902750436,6.2,16.1
2025-04-16 15:27:16,50.01728106666667,-4.001860933333333,4.9999841248,297.5,253.2506709656517,0.05213555919135615,0.35853760657487244,1.1292728777876664,84.7,50.01833333333333,-4.005,297.55213555919136,,
2025-04-16 15:27:17,50.017298266666664,-4.00191255,4.9999841248,297.4,249.09164592492883,0.1544526975855547,0.3627909695715441,1.2955738710418765,84.7,50.01833333333333,-4.005,297.55445269758553,6.2,16.2
2025-04-16 15:27:19,50.017313116666664,-4.0019572,4.9999841248,297.4,245.49543213740435,0.15717793554165382,0.3692879066436957,1.318832622862782,84.7,50.01833333333333,-4.005,297.55717793554163,,
2025-04-16 15:27:20,50.017330333333334,-4.0020088,4.9999841248,297.5,241.33660869950114,0.05913600234742944,0.37134520220505585,1.1775810116251242,84.7,50.01833333333333,-4.005,297.55913600234743,6.2,16.1
2025-04-16 15:27:22,50.017345283333334,-4.00205335,4.9999841248,297.6,237.74158843993897,-0.04115403799437445,0.364665739695154,1.007144990852355,84.7,50.01833333333333,-4.005,297.55884596200565,,
2025-04-16 15:27:23,50.01736258333333,-4.0021048666666665,4.9999841248,297.6,233.58375981272735,-0.041793927467836056,0.3557427030804947,0.9799488261368126,84.7,50.01833333333333,-4.005,297.5582060725322,6.2,16.1
2025-04-16 15:27:25,50.01737786666666,-4.002150416666667,4.9999841248,297.5,229.90816082110194,0.057940685944856796,0.3491350129196638,1.1102603193287857,84.7,50.01833333333333,-4.005,297.55794068594486,,
2025-04-16 15:27:26,50.01739495,-4.002201533333333,4.9999841248,297.5,225.78685853669444,0.05933047706042771,0.34841403026903617,1.1105127701857818,84.7,50.01833333333333,-4.005,297.5593304770604,6.2,16.2
2025-04-16 15:27:28,50.01741,-4.0022466,4.9999841248,297.5,222.15392856431345,0.06088934305364546,0.3489049794088297,1.114346641157644,84.7,50.01833333333333,-4.005,297.56088934305365,,
2025-04-16 15:27:29,50.01742706666667,-4.002297733333333,4.9999841248,297.5,218.03243039907207,0.06296255809587592,0.35038006346240813,1.1218267548695333,84.7,50.01833333333333,-4.005,297.5629625580959,6.2,16.1
2025-04-16 15:27:31,50.0174418,-4.0023418,4.9999841248,297.5,214.47922474127319,0.064146862458756,0.34915308733438155,1.1198781196938499,84.7,50.01833333333333,-4.005,297.56414686245876,,
2025-04-16 15:27:32,50.01745905,-4.00239335,4.9999841248,297.5,210.3218644345784,0.06518913602502607,0.3462683363744142,1.1129115241556187,84.7,50.01833333333333,-4.005,297.565189136025,6.2,16.1
2025-04-16 15:27:34,50.017473966666664,-4.00243795,4.9999841248,297.5,206.72539836080537,0.06633523398602392,0.34453092108764977,1.1095841958159842,84.7,50.01833333333333,-4.005,297.566335233986,,
2025-04-16 15:27:35,50.01749123333333,-4.002489483333333,4.9999841248,297.5,202.56823857964346,0.06684227244335261,0.33945010339417186,1.095300439285395,84.7,50.01833333333333,-4.005,297.56684227244335,6.2,16.1
2025-04-16 15:27:37,50.017506166666664,-4.00253405,4.9999841248,297.5,198.97302948230234,0.06727264097844454,0.33496670761776254,1.0828210658822077,84.7,50.01833333333333,-4.005,297.56727264097844,,
2025-04-16 15:27:38,50.01752341666667,-4.002585633333333,4.9999841248,297.5,194.81356021349723,0.06879155973632578,0.3331817835268629,1.0799935963192635,84.7,50.01833333333333,-4.005,297.5687915597363,6.2,16.2
2025-04-16 15:27:40,50.0175383,-4.002630266666666,4.9999841248,297.4,191.21670213321295,0.17141677294506508,0.3358365016778332,1.241928888502883,84.7,50.01833333333333,-4.005,297.57141677294504,,
2025-04-16 15:27:41,50.01755545,-4.002681916666667,4.9999841248,297.3,187.05816163489956,0.2767905869595779,0.34612814962738675,1.430488234613043,84.7,50.01833333333333,-4.005,297.5767905869596,6.2,16.2
2025-04-16 15:27:43,50.017570283333335,-4.0027265666666665,4.9999841248,297.3,183.4628270978678,0.28139783880573077,0.3542712396183146,1.4612203750440522,84.7,50.01833333333333,-4.005,297.58139783880574,,
2025-04-16 15:27:44,50.01758745,-4.0027782,4.9999841248,297.4,179.30448945043113,0.18653501786758397,0.3623668215361676,1.3426253255629048,84.7,50.01833333333333,-4.005,297.58653501786756,6.2,16.1
2025-04-16 15:27:46,50.01760405,-4.002827783333333,4.9999841248,297.6,175.30532901810173,-0.012006728092387675,0.35879220055943734,1.0338124964612767,84.7,50.01833333333333,-4.005,297.58799327190764,,
2025-04-16 15:27:47,50.01761916666667,-4.002872783333333,4.9999841248,297.6,171.67320445328804,-0.012307158338501267,0.35049888282382463,1.008787725456047,84.7,50.01833333333333,-4.005,297.5876928416615,6.2,16.0
