Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),Thrust
2025-03-16 14:46:51,50.016623,-4.000168266666667,0.5658884000000001,29.4,405.06027376227456,-81.99304919099774,-0.8741709997069476,-180.46403794241942
2025-03-16 14:46:52,50.01662923333333,-4.000162183333333,0.6173328,33.2,404.9852254182203,-85.90842165326711,-1.6895312242684566,-104.9975706172799
2025-03-16 14:46:54,50.01663643333333,-4.0001558,0.6687772000000001,24.6,404.86390541966716,-77.43780515900687,-2.6033028065462522,-107.68129982147641
2025-03-16 14:46:55,50.016646,-4.000150916666667,0.6687772000000001,10.5,404.5003526998494,-63.487903673044514,-3.6606500820019137,-106.0188402481866
2025-03-16 14:46:58,50.01666175,-4.000152466666667,0.6687772000000001,344.3,403.3585773639319,-37.47729155494676,-4.983558440281145,-70.90974368872816
2025-03-16 14:46:59,50.01666998333334,-4.000158316666667,0.6173328,329.3,402.4745858661396,-22.546038623698735,-5.455515628113982,-49.83675764818626
2025-03-16 14:47:01,50.01667681666667,-4.000165783333333,0.5658884000000001,319.9,401.5915929866164,-13.187402015307839,-5.733435070455424,-36.60417809489831
2025-03-16 14:47:04,50.016685833333334,-4.0001802,0.4629996,309.7,400.16493116037043,-3.0143550581172462,-5.901273876149569,-21.8344282588839
2025-03-16 14:47:05,50.016692,-4.0001943,1.1832212,300.0,398.9460209475078,6.693109097889817,-5.831306181374441,-7.054608875395516
2025-03-16 14:47:08,50.01670505,-4.000241433333334,1.543332,289.3,395.37550800054044,17.516203477663566,-4.929663213887931,11.881602713945963
2025-03-16 14:47:11,50.01671568333333,-4.000292133333334,1.1317768000000001,287.6,391.7648027935452,19.395408892719672,-3.6592620659698034,18.44403135719685
2025-03-16 14:47:12,50.016720283333335,-4.000314516666666,0.9774436,287.9,390.1783035324982,19.176812718606982,-3.0900582107959753,19.73110817267571
2025-03-16 14:47:16,50.01672953333333,-4.00035705,0.7202216,289.8,387.13151806164126,17.42665956276744,-2.0533769889034073,20.18966115502152
2025-03-16 14:47:18,50.01673305,-4.00037185,0.6687772000000001,291.0,386.05188602319714,16.275437508898733,-1.718960334751309,19.389261068825345
2025-03-16 14:47:19,50.01673641666667,-4.00038495,0.6173328,292.3,385.0793633488081,15.015495774174951,-1.4453749362413224,18.29832870820202
2025-03-16 14:47:21,50.016739683333334,-4.000396966666667,0.5658884000000001,293.6,384.1753823658221,13.750065082718208,-1.2101650727030366,17.08748007630741
2025-03-16 14:47:24,50.01674525,-4.00041585,0.514444,295.7,382.7258251590143,11.698981677757217,-0.8788052312954415,14.993850723992272
2025-03-16 14:47:25,50.01674833333333,-4.000425633333333,0.4629996,296.7,381.9614483913728,10.721828398360458,-0.7247226563665012,13.964853221882136
2025-03-16 14:47:27,50.01675145,-4.000435016666667,0.4629996,297.8,381.2175932967089,9.64170972159593,-0.5910119067033258,12.736043561747493
2025-03-16 14:47:30,50.01675696666667,-4.0004507333333335,0.4629996,299.9,379.9516994101883,7.571235902938383,-0.3932181842739476,10.216820325089733
2025-03-16 14:47:31,50.016760866666665,-4.000460833333333,0.6173328,302.4,379.1142129277401,5.085577849794163,-0.2974347883846153,6.760535986447594
2025-03-16 14:47:33,50.01676855,-4.000477983333333,1.3375544000000001,306.7,377.6202897132851,0.7958602300259372,-0.22846514814900679,0.5272162206540415
2025-03-16 14:47:35,50.016781333333334,-4.00050315,1.9034428,309.6,375.3258366822471,-2.1092368164269146,-0.2604273279597094,-3.9290183416857536
2025-03-16 14:47:37,50.0168177,-4.000571366666667,2.4693312,308.4,368.9903088294198,-0.9469136716202797,-0.49857519715623805,-2.8983778517793253
2025-03-16 14:47:39,50.016839833333336,-4.0006162666666665,2.5207756000000003,306.7,364.9423987156504,0.7525988069217533,-0.4961420635397105,-0.3256818913996482
2025-03-16 14:47:40,50.016861516666665,-4.000662966666667,2.57222,305.4,360.82275857278154,2.070846557636685,-0.3755510296903132,2.0110481711438783
2025-03-16 14:47:43,50.016896366666664,-4.000738666666667,2.57222,306.2,354.1651869078951,1.305590996805563,-0.15373501678732504,1.5223004469467423
2025-03-16 14:47:45,50.016918966666665,-4.000785916666667,2.57222,307.3,349.9523084235954,0.21569779164281044,-0.09010442710774431,0.06256797957363103
2025-03-16 14:47:46,50.0169412,-4.000830666666666,2.57222,307.9,345.9061345401048,-0.3866273734828951,-0.10303542764760779,-0.8826719042619047
2025-03-16 14:47:48,50.01696466666667,-4.000877666666667,2.57222,307.8,341.6486977230474,-0.29083822698078166,-0.1268093314339053,-0.8091111194838309
2025-03-16 14:47:49,50.01698713333333,-4.000923033333334,2.57222,307.4,337.5517216652192,0.10776223665374118,-0.1334696976658515,-0.23000431863893134
2025-03-16 14:47:51,50.01700983333333,-4.0009696,2.57222,307.1,333.37084193526977,0.4117682314746389,-0.10844201886991761,0.3008506621636929
2025-03-16 14:47:54,50.017049316666665,-4.00105115,2.57222,307.1,326.0673850344736,0.42322248801394835,-0.04076695282337331,0.5196714143185845
2025-03-16 14:47:55,50.01707136666667,-4.001096366666666,2.57222,307.3,322.00717311320483,0.22731824126890388,-0.017178938511514776,0.2917033564788213
2025-03-16 14:47:58,50.017108883333336,-4.001172416666667,2.57222,307.7,315.1490915186334,-0.17246717049425797,-0.015531916126814833,-0.3041292402016299
2025-03-16 14:48:01,50.017149016666664,-4.001253233333333,2.57222,307.6,307.84318044294366,-0.0765852267074365,-0.037193654826196604,-0.2252887667900798
