Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),RZ Thrust,Forward Thrust
2025-04-15 17:57:37,50.016664866666666,-4.0,0.0,0.0,402.9959259682169,-62.554161938473726,-0.0,-93.83124290771059,7.0
2025-04-15 17:57:39,50.01666531666667,-3.9999997166666668,0.199999364992,13.2,402.9908265782956,-75.76181034822736,-0.0537969567578132,-100.15994548955872,7.0
2025-04-15 17:57:41,50.016669783333334,-4.000001383333333,0.599998094976,327.1,402.656088201477,-29.716788456458914,-0.44012506275027885,-45.88883503641404,7.0
2025-04-15 17:57:43,50.0166729,-4.000006233333333,0.599998094976,305.8,402.18849351736947,-8.437948644116602,-0.5881409139959369,-14.387790221005746,31.274278070427997
2025-04-15 17:57:45,50.016675416666665,-4.0000130333333335,0.799997459968,295.4,401.6277473107374,1.9584434962101227,-0.6125971271646753,1.1404633835773157,84.7
2025-04-15 17:57:46,50.0166786,-4.000026166666666,1.9999936499200002,287.8,400.63056199450926,9.575164384727714,-0.49412820947431996,12.919258893807246,13.601945461331326
2025-04-15 17:57:48,50.016683533333335,-4.0000513,2.099993332416,286.7,398.7817258055325,10.723847640268048,-0.15294999620053032,15.65289417283632,7.0
2025-04-15 17:57:50,50.016689916666664,-4.000083966666667,1.6999946024319998,287.2,396.38063867282017,10.288211298826127,0.2933256733821007,16.32034286055562,7.0
2025-04-15 17:57:52,50.0166938,-4.00010325,1.4999952374399999,287.7,394.95757229208704,9.824922981656186,0.5453828250246597,16.34727140111942,9.720696865062862
2025-04-15 17:57:54,50.01669713333333,-4.000119166666667,1.299995872448,288.4,393.7764905173278,9.15358719057366,0.7407891324067808,15.910879379806223,20.15325505848533
2025-04-15 17:57:56,50.016702333333335,-4.000142283333333,1.299995872448,290.7,392.0428152710484,6.89035197312802,0.9891406970800294,13.251363015002248,55.32393033759057
2025-04-15 17:57:58,50.016707233333335,-4.000160366666667,1.799994284928,294.9,390.6437970263239,2.7072996295615894,1.101199514015772,7.294068930465464,84.7
2025-04-15 17:58:00,50.01671568333333,-4.0001851833333335,3.099990157376,300.2,388.63486636373534,-2.594332098189966,1.0845190614131868,-0.7124247868855655,84.7
2025-04-15 17:58:01,50.01673013333333,-4.000221533333334,4.199986664832,302.7,385.58543679188807,-5.127139119802109,0.8552966572524187,-5.193316935263683,82.72425807827523
2025-04-15 17:58:03,50.016750683333335,-4.000271316666667,4.699985077312,302.1,381.3701949326054,-4.584191508446793,0.46628906433558154,-5.524243360214478,84.7
2025-04-15 17:58:05,50.01676881666667,-4.000318816666667,4.899984442304,299.3,377.4243478444652,-1.8177103063743516,0.24075628651860442,-2.0298577922652603,84.7
2025-04-15 17:58:06,50.01678605,-4.000368716666666,4.9999841248,297.3,373.3725060504424,0.17384769137845524,0.1832556534118016,0.7954418074263694,84.7
2025-04-15 17:58:08,50.01680485,-4.00042685,4.9999841248,296.5,368.7177059426214,0.9833760240418314,0.2424031312910516,2.1881106714628022,84.7
2025-04-15 17:58:10,50.016821533333335,-4.000478316666666,4.9999841248,297.2,364.59470379788144,0.29140526182561644,0.2908854390152579,1.2920341832094482,84.7
2025-04-15 17:58:11,50.01683873333333,-4.000529516666667,4.9999841248,298.1,360.4620773764291,-0.6098903805753935,0.27953408079180503,-0.0957612710439838,84.7
2025-04-15 17:58:13,50.016858883333335,-4.0005872,4.9999841248,298.8,355.76648898287954,-1.323663579202389,0.19047721153246308,-1.4303120154940139,84.7
2025-04-15 17:58:15,50.01687675,-4.000637916666666,4.9999841248,298.5,351.6303113666777,-1.0384953542375115,0.09733065179377652,-1.2766572635848614,84.7
2025-04-15 17:58:16,50.01689433333333,-4.000688916666666,4.9999841248,298.0,347.49071301840434,-0.5475246525734292,0.04151567750633667,-0.7020086654878046,84.7
2025-04-15 17:58:18,50.01691386666667,-4.0007472,4.9999841248,297.2,342.7887378775835,0.2511551427879226,0.033160467199064105,0.47363781182114856,84.7
2025-04-15 17:58:20,50.016930783333336,-4.0007987,4.9999841248,297.0,338.65162248386423,0.45569572927740865,0.059690132147963225,0.859697031755826,84.7
2025-04-15 17:58:21,50.01694755,-4.000849683333334,4.9999841248,297.2,334.55500344707804,0.2599682614056178,0.08400603944366618,0.6373388464702708,84.7
2025-04-15 17:58:23,50.016966866666664,-4.000907616666667,4.9999841248,297.7,329.8863681188329,-0.2395830855768395,0.08551760448274141,-0.10857768275787666,84.7
2025-04-15 17:58:25,50.016984566666665,-4.000959766666667,4.9999841248,297.9,325.66779411818004,-0.44458394956001257,0.05608812411032816,-0.5036918629538741,84.7
2025-04-15 17:58:26,50.01700198333333,-4.00101095,4.9999841248,297.9,321.52512358857234,-0.4504072348426007,0.022782344266470037,-0.610319735974667,84.7
2025-04-15 17:58:28,50.017021666666665,-4.0010692,4.9999841248,297.6,316.8175766185789,-0.15475411302315933,-0.0014905770527888595,-0.23740845253278803,84.7
2025-04-15 17:58:30,50.017038783333334,-4.001120583333333,4.9999841248,297.3,312.6776091645519,0.14576281546112568,0.0014345727755040172,0.22297694447895083,84.7
2025-04-15 17:58:31,50.0170558,-4.0011720833333335,4.9999841248,297.2,308.535368310143,0.24884277805693955,0.018085014820570358,0.4270372380359803,84.7
2025-04-15 17:58:33,50.017075133333336,-4.001230583333333,4.9999841248,297.3,303.82991596353145,0.15237444063780003,0.03663095040664877,0.3366817032093803,84.7
2025-04-15 17:58:35,50.01709225,-4.001282,4.9999841248,297.5,299.6878367452492,-0.04677627940219509,0.04065497787091316,0.04921013814108653,84.7
