Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),Thrust
2025-03-19 20:57:59,50.01667295,-4.000097283333333,0.599998094976,254.4,6.993739452743792,-158.6601790851997,-0.17370884906307782,-122.8000225763299
2025-03-19 20:58:02,50.01667071666667,-4.000108866666666,0.599998094976,251.9,87.587233658835,17.805545207952065,-0.4508439751272846,25.378775783944256
2025-03-19 20:58:03,50.01666951666667,-4.00011445,0.599998094976,250.9,87.18727593296693,18.891976337697628,-0.3172605751481612,27.414078558994323
2025-03-19 20:58:06,50.01666706666666,-4.000125616666667,0.599998094976,252.0,86.38796095178297,17.970930166551057,-0.04452779972938359,26.842433558037637
2025-03-19 20:58:07,50.0166659,-4.000131416666667,0.599998094976,253.3,85.97311899429637,16.757337620956832,0.08534494994271924,25.392595529556118
2025-03-19 20:58:10,50.01666386666667,-4.000143116666667,0.599998094976,256.6,85.13674822958924,13.610222323424523,0.31169459968763036,21.343234373225286
2025-03-19 20:58:11,50.01666303333333,-4.000149116666667,0.599998094976,258.7,84.70796410102369,11.574028745177088,0.4044608502443907,18.551444741984486
2025-03-19 20:58:14,50.016661733333336,-4.000161066666666,0.599998094976,262.1,83.85401467497353,8.27569293360665,0.5491761995626305,14.032653391166008
2025-03-19 20:58:15,50.01666121666667,-4.000167966666667,0.799997459968,264.6,83.360867626635,5.81744253187793,0.6066912745756134,10.507785011998505
2025-03-19 20:58:18,50.01666118333333,-4.00020005,2.599991744896,273.7,81.066037665922,-3.2681424695142596,0.610401924882634,-3.1122908705445305
2025-03-19 20:58:19,50.0166631,-4.000229933333333,3.599988569856,276.6,78.92718226447202,-6.311352303064837,0.3970395496303496,-8.313394922985664
2025-03-19 20:58:22,50.016667766666664,-4.000302283333333,3.7999879348479997,273.7,73.75108739310828,-3.794735165578345,-0.12245144984903433,-6.0821556096022125
2025-03-19 20:58:23,50.01666875,-4.000341883333333,4.399986029824,270.4,70.91877701102949,-0.5869867450929291,-0.23191562520544196,-1.5657656271691782
2025-03-19 20:58:26,50.01666731666667,-4.000432033333333,4.899984442304,267.7,64.47001175789704,2.2360395908236796,-0.07235767545009253,3.1515856718599506
2025-03-19 20:58:27,50.016666,-4.000479933333334,4.9999841248,267.7,61.043731049292695,2.369983445709579,0.07421299981263019,3.77993932082613
2025-03-19 20:58:30,50.01666496666667,-4.00057565,4.9999841248,270.6,54.19740555005039,-0.39964746983929444,0.18924314983859603,-0.037715189502691926
2025-03-19 20:58:31,50.016665583333335,-4.0006242,4.9999841248,271.5,50.724437563673,-1.3635088725249602,0.12059612469552405,-1.695071765653777
2025-03-19 20:58:34,50.01666725,-4.000720366666667,4.9999841248,271.2,43.84554164561307,-1.2846217119704875,-0.06493637483605141,-2.1285272768091317
2025-03-19 20:58:35,50.016667616666666,-4.000769666666667,4.9999841248,270.2,40.31920407039303,-0.3500657163468759,-0.10575352504938706,-0.8371907007806674
2025-03-19 20:58:38,50.01666711666667,-4.0008653333333335,4.9999841248,269.0,33.47606828287907,0.9144415477588836,-0.050093775189914425,1.2280952788518615
2025-03-19 20:58:39,50.01666648333333,-4.000914083333333,4.9999841248,268.9,29.98895140269872,1.139152487201045,0.020408575106667826,1.772037816376801
2025-03-19 20:58:42,50.0166658,-4.00101045,4.9999841248,270.0,23.09604030708424,0.23946060465351593,0.09647690007280829,0.6466342535151227
2025-03-19 20:58:43,50.016666066666666,-4.001059183333333,4.9999841248,270.8,19.610058072874722,-0.6047456435343861,0.06679169998956169,-0.7127337996118827
2025-03-19 20:58:46,50.01666705,-4.0011555,4.9999841248,270.7,12.720486422565646,-0.8921381326505866,-0.04267247536684593,-1.469910064011761
2025-03-19 20:58:47,50.01666735,-4.001200166666667,3.8999876173440002,270.5,9.525712756052199,-0.95749373846445,-0.07606832496614047,-1.6609096535014567
2025-03-19 20:58:50,50.016667633333334,-4.001259783333333,2.599991744896,270.4,148.41165447283018,87.56855834603067,-5.26103051429767,84.42906972237905
2025-03-19 20:58:51,50.01666778333333,-4.001283133333334,2.099993332416,272.1,148.3451451796623,86.51301589355154,-3.590805327209857,89.54915243074268
2025-03-19 20:58:54,50.01667233333333,-4.001316433333334,1.4999952374399999,295.2,147.80012083983559,64.33138579863873,-1.208856773472926,93.09436527700757
2025-03-19 20:58:55,50.01667691666667,-4.001328583333334,1.399995554944,307.1,147.28535483210047,52.76782993068457,-0.3397674363106599,78.19740804174502
2025-03-19 20:58:58,50.01668845,-4.00134385,1.199996189952,329.4,146.0030160501283,30.89520036581274,0.7522570257081728,48.61326535796459
2025-03-19 20:58:59,50.01669483333333,-4.0013483,0.9999968249600001,340.6,145.2944327713594,19.822161603171594,1.0705654661061863,32.88803877472455
2025-03-19 20:59:02,50.016706383333336,-4.0013529,0.899997142464,350.7,144.0115497346974,9.856833105468581,1.3996034044287573,18.908737296748424
