Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),RZ Thrust,Forward Thrust,WP Lat,WP Lon
2025-04-15 18:01:10,50.018814633333335,-4.006239716666666,3.9999872998400003,303.7,103.60299037081532,177.4406583127481,0.14636889619671262,112.90711390432877,7.0,50.01833333333333,-4.005
2025-04-15 18:01:12,50.018829116666666,-4.006272366666667,2.6999914273920003,308.5,106.43573017816244,172.73335507977384,0.32258498208350483,100.95389846122147,7.0,50.01833333333333,-4.005
2025-04-15 18:01:13,50.01883958333333,-4.0062889,1.9999936499200002,325.0,108.05174150056874,156.43647379471577,0.7105376832932062,102.10096028784376,7.0,50.01833333333333,-4.005
2025-04-15 18:01:15,50.01885158333333,-4.006298683333333,1.599994919936,339.2,109.34825136690436,142.64244147170245,1.4938064827702335,104.4175972061993,7.0,50.01833333333333,-4.005
2025-04-15 18:01:16,50.018860866666664,-4.006301966666666,1.399995554944,356.5,110.09555040823356,125.7348313163842,2.257889585755416,106.65424352110865,7.0,50.01833333333333,-4.005
2025-04-15 18:01:19,50.01887731666667,-4.00629785,1.299995872448,24.9,110.83636130589657,98.21677865370427,3.9784653344470104,111.77374824644703,7.0,50.01833333333333,-4.005
2025-04-15 18:01:20,50.01888426666667,-4.0062914,1.299995872448,36.7,110.87630194882753,86.88189330182063,4.879238490263706,114.34820556159565,7.0,50.01833333333333,-4.005
2025-04-15 18:01:22,50.01889061666667,-4.006281,1.299995872448,55.7,110.65209730060802,68.39989460806378,5.868565213826321,117.25230012641975,7.0,50.01833333333333,-4.005
2025-04-15 18:01:25,50.0188964,-4.00625705,1.299995872448,85.5,109.60468887997577,39.380669470373164,7.303898141662066,80.57357634718501,7.0,50.01833333333333,-4.005
2025-04-15 18:01:28,50.01889383333334,-4.006231316666667,1.099996507456,113.4,107.93445311269026,11.915028079965595,8.008794422054603,41.3962837378763,7.0,50.01833333333333,-4.005
2025-04-15 18:01:31,50.018886,-4.0062122166666665,0.9999968249600001,130.7,106.31563488651773,-5.342815622934779,7.966672943569087,15.341634541211725,79.37264521959354,50.01833333333333,-4.005
2025-04-15 18:01:34,50.01886588333333,-4.0061869833333335,3.099990157376,147.1,103.55075258637144,-22.175449276802027,6.9795663437115705,-12.857892309283454,7.0,50.01833333333333,-4.005
2025-04-15 18:01:37,50.01883063333333,-4.00615685,2.399992379904,152.8,99.55684825368785,-29.016962971613225,4.730186997093899,-29.7895985610135,7.0,50.01833333333333,-4.005
2025-04-15 18:01:38,50.01881645,-4.0061454,1.9999936499200002,152.2,98.00196230544708,-28.917932860709072,3.8002235357579526,-32.27206765261498,7.0,50.01833333333333,-4.005
2025-04-15 18:01:40,50.01880456666667,-4.006135316666667,1.6999946024319998,150.3,96.67571127697063,-27.438770462356786,3.0391510194774067,-32.28366494428529,7.0,50.01833333333333,-4.005
2025-04-15 18:01:43,50.01878773333333,-4.006118833333334,1.299995872448,144.9,94.67319846306422,-22.60420139643159,2.042233935303402,-27.981402376018504,7.0,50.01833333333333,-4.005
2025-04-15 18:01:44,50.018780383333336,-4.006110383333334,1.199996189952,142.4,93.72586681743094,-20.32958499363562,1.6531799381222008,-25.663296046404824,7.0,50.01833333333333,-4.005
2025-04-15 18:01:46,50.01877373333333,-4.006101933333333,1.099996507456,139.5,92.8211476881263,-17.618705687478325,1.3308772666533883,-22.540905471932636,7.0,50.01833333333333,-4.005
2025-04-15 18:01:49,50.01876368333333,-4.006087733333334,0.9999968249600001,135.9,91.36873767205951,-14.278023191024687,0.8965492333507746,-18.81384928622054,7.0,50.01833333333333,-4.005
2025-04-15 18:01:50,50.018758616666666,-4.0060798166666665,0.899997142464,134.0,90.59102093429584,-12.494000333666293,0.7055498160001499,-16.68015273669382,7.0,50.01833333333333,-4.005
2025-04-15 18:01:52,50.01875398333333,-4.00607215,0.899997142464,132.6,89.8540764075376,-11.191666373776599,0.5466467628176208,-15.192042495325103,7.0,50.01833333333333,-4.005
2025-04-15 18:01:55,50.01874655,-4.006059166666667,0.799997459968,130.7,88.63054419447303,-9.43534723507895,0.3169422355148348,-13.237128958328404,15.774703966873119,50.01833333333333,-4.005
2025-04-15 18:01:56,50.01874255,-4.00605175,0.799997459968,129.5,87.94605884876819,-8.30393914573375,0.20920735355641504,-11.846882678168459,33.35678567529752,50.01833333333333,-4.005
2025-04-15 18:01:58,50.0187383,-4.00604345,0.9999968249600001,127.4,87.1932302054004,-6.2677992209101205,0.11023084158262801,-9.08305513135611,64.99840010705672,50.01833333333333,-4.005
2025-04-15 18:02:01,50.01872615,-4.006014816666666,2.399992379904,120.3,84.7409231473571,0.7653794231137141,0.008289949693580993,1.1663593704906918,84.7,50.01833333333333,-4.005
2025-04-15 18:02:02,50.01871571666667,-4.0059845,3.599988569856,117.0,82.28424319001341,4.15181516742939,0.13216970166822392,6.620242566180032,84.7,50.01833333333333,-4.005
2025-04-15 18:02:04,50.01870228333333,-4.005943133333333,4.49998571232,116.8,78.97889782477648,4.5338429745905415,0.3777564777326335,7.919800864154105,84.7,50.01833333333333,-4.005
2025-04-15 18:02:05,50.018686433333336,-4.005895216666667,4.799984759808,118.2,75.1344016602191,3.3437556247295532,0.634610445986374,6.887856936094393,84.7,50.01833333333333,-4.005
2025-04-15 18:02:07,50.01867046666667,-4.0058525,4.899984442304,121.9,71.60067184335942,-0.28926962290987035,0.6884407753976755,1.5872337978774973,84.7,50.01833333333333,-4.005
