Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),Thrust
2025-04-12T21:35:34.226753,50.019711066666666,-4.0044388,0.6,186.9,248547.65914465144,-119.88160911325318,239022.2667494215,7.0
2025-04-12T21:35:34.432642,50.01970991666666,-4.004439016666667,0.6,186.6,248547.72339441147,-119.58163504001143,239022.3547134279,7.0
2025-04-12T21:35:34.638109,50.01970936666667,-4.0044391,0.6,186.5,248547.75278651915,-119.48164755476478,239022.3956329116,7.0
2025-04-12T21:35:34.844074,50.019708683333334,-4.004439233333334,0.6,186.2,248547.7912661545,-119.1816629344965,239022.44816155647,7.0
2025-04-12T21:35:35.049472,50.01970823333333,-4.0044393,0.6,186.0,248547.81521449296,-118.98167318242292,239022.48155523848,7.0
2025-04-12T21:35:35.256193,50.01970763333333,-4.0044394,0.6,185.7,248547.84787727325,-118.6816867833432,239022.52671005088,7.0
2025-04-12T21:35:35.462185,50.01970705,-4.004439483333333,0.6,185.3,248547.8787182058,-118.28170008518009,239022.56982318385,7.0
2025-04-12T21:35:35.668913,50.01970645,-4.004439566666667,0.6,184.7,248547.91028353942,-117.68171378056115,239022.61403314144,7.0
2025-04-12T21:35:35.877080,50.01970585,-4.004439633333333,0.7,184.1,248547.9407514134,-117.08172757040697,239022.65729824416,7.0
2025-04-12T21:35:36.081953,50.01970523333333,-4.0044397,0.7,183.3,248547.97194369108,-116.28174175379729,239022.70166017153,7.0
2025-04-12T21:35:36.284607,50.01970456666667,-4.004439766666667,0.7,182.5,248548.00530915134,-115.48175711782608,239022.74931257227,7.0
2025-04-12T21:35:36.490001,50.019703983333336,-4.0044398,0.7,181.8,248548.03285773387,-114.78177070305054,239022.78959114064,7.0
2025-04-12T21:35:36.701462,50.0197033,-4.0044398333333335,0.7,181.1,248548.06475267123,-114.08178664955594,239022.83645065626,7.0
2025-04-12T21:35:37.026847,50.01970206666667,-4.00443985,0.7,180.1,248548.11945505484,-113.08181567758251,239022.9185605268,7.0
