Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),RZ Thrust,Forward Thrust,WP Lat,WP Lon,Bearing to WP
2025-04-20 21:26:43,50.01666468333333,-4.0,0.0,180.0,403.00533288904734,117.4484130000659,0.006586050570830513,-14.273032,32.45048,50.01833333333333,-4.005,297.4484130000659
2025-04-20 21:26:47,50.01666835,-3.99999995,0.49999841248000004,358.1,402.8205245578098,-60.70334265382411,-0.35729514612637503,4.4326625,37.645344,50.01833333333333,-4.005,297.3966573461759
2025-04-20 21:26:48,50.0166734,-4.0000005666666665,0.799997459968,353.9,402.5229681183122,-56.571498488489055,-0.8358581458435931,3.84186,37.05082,50.01833333333333,-4.005,297.3285015115109
2025-04-20 21:26:51,50.01668513333333,-4.000002716666667,1.299995872448,353.1,401.7881793815166,-55.92690289926617,-1.9241216083008608,3.7380228,36.9113,50.01833333333333,-4.005,297.17309710073386
2025-04-20 21:26:55,50.016712166666665,-4.00000725,1.799994284928,354.7,400.13338788391394,-57.88905661153399,-4.445309685403033,4.2386913,37.406487,50.01833333333333,-4.005,296.810943388466
2025-04-20 21:26:56,50.016723733333336,-4.000008766666666,1.8999939674239998,355.6,399.45731112823535,-58.94687066565302,-5.537987833319738,4.437327,37.535187,50.01833333333333,-4.005,296.653129334347
2025-04-20 21:26:58,50.016738616666665,-4.000010233333334,1.9999936499200002,357.1,398.622903863306,-60.652942525443336,-6.9599704101115245,4.2948337,37.53637,50.01833333333333,-4.005,296.4470574745567
2025-04-20 21:26:59,50.01675178333333,-4.000011033333333,2.099993332416,358.5,397.9209666395655,-62.23823120526839,-8.234340930356478,4.9176183,37.563168,50.01833333333333,-4.005,296.2617687947316
2025-04-20 21:27:04,50.01680101666667,-4.000009716666667,2.199993014912,3.4,395.61144802154763,-67.85610576285598,-13.141547422261672,6.6744943,36.976295,50.01833333333333,-4.005,295.543894237144
2025-04-20 21:27:06,50.01681693333333,-4.000007883333334,2.199993014912,5.2,394.9692164100116,-69.8962140545272,-14.774408592692556,6.9918876,37.181515,50.01833333333333,-4.005,295.3037859454728
2025-04-20 21:27:07,50.01683095,-4.000005633333333,2.199993014912,6.7,394.45057921706695,-71.61110413217256,-16.23330403611415,8.21782,37.6965,50.01833333333333,-4.005,295.08889586782743
2025-04-20 21:27:11,50.016868583333334,-3.9999957166666666,2.199993014912,12.6,393.3379319279972,-78.10758442568749,-20.278063562829377,9.465813,38.371384,50.01833333333333,-4.005,294.49241557431253
2025-04-20 21:27:14,50.016895983333335,-3.999984366666667,2.199993014912,17.4,392.82455714231673,-83.36152271573616,-23.359118612956596,9.875247,38.06669,50.01833333333333,-4.005,294.0384772842638
2025-04-20 21:27:15,50.0169096,-3.99997725,2.199993014912,20.1,392.6752251516498,-86.29376513850735,-24.938942618894675,10.134692,38.195484,50.01833333333333,-4.005,293.80623486149267
2025-04-20 21:27:17,50.0169247,-3.9999678833333334,2.199993014912,23.0,392.6138811934342,-89.45765803233036,-26.739484531441637,10.377051,37.277374,50.01833333333333,-4.005,293.54234196766964
2025-04-20 21:27:18,50.016937766666665,-3.9999586833333334,2.199993014912,26.1,392.6394279900085,-92.79059919731645,-28.333657209776337,10.477742,37.366173,50.01833333333333,-4.005,293.30940080268357
2025-04-20 21:27:20,50.01695206666667,-3.9999471,2.199993014912,28.8,392.7745350741738,-95.75167694570433,-30.128245854341326,10.455203,36.961784,50.01833333333333,-4.005,293.0483230542957
2025-04-20 21:27:21,50.0169643,-3.99993595,2.199993014912,32.0,392.9783842508797,-99.17989523947426,-31.704380738778756,10.610094,37.488434,50.01833333333333,-4.005,292.82010476052574
2025-04-20 21:27:23,50.01697765,-3.9999222833333334,2.199993014912,34.6,393.306952113402,-102.03466487346321,-33.47380175089684,10.732545,35.936695,50.01833333333333,-4.005,292.5653351265368
2025-04-20 21:27:24,50.01698895,-3.9999093,2.099993332416,38.0,393.68476542373804,-105.65557816250191,-35.018173484853996,10.876901,37.096336,50.01833333333333,-4.005,292.3444218374981
2025-04-20 21:27:26,50.017001183333335,-3.99989375,2.099993332416,40.7,394.19940024869675,-108.60010174271912,-36.739368113086385,10.805448,35.781254,50.01833333333333,-4.005,292.09989825728087
2025-04-20 21:27:27,50.01701118333333,-3.9998794666666666,2.099993332416,43.9,394.7297458780869,-112.0055953817471,-38.198170418216854,11.354954,35.867012,50.01833333333333,-4.005,291.8944046182529
2025-04-20 21:27:29,50.0170223,-3.99986205,2.099993332416,46.9,395.42752202703304,-115.23927076380195,-39.8705891938235,11.426955,34.990196,50.01833333333333,-4.005,291.66072923619805
2025-04-20 21:27:35,50.01705855,-3.999785533333333,1.9999936499200002,60.5,399.0664705486263,-129.66775088158323,-45.97436518836888,11.923425,35.383297,50.01833333333333,-4.005,290.83224911841677
2025-04-20 21:27:37,50.01706561666666,-3.9997649833333333,1.9999936499200002,63.3,400.16251958902376,-132.64785547404568,-47.3499815015243,11.503518,34.91709,50.01833333333333,-4.005,290.6521445259543
2025-04-20 21:27:38,50.01707116666667,-3.9997461666666667,1.9999936499200002,66.9,401.2054514185555,-136.39819449276476,-48.5186204142815,11.926842,35.384937,50.01833333333333,-4.005,290.50180550723525
2025-04-20 21:27:40,50.01707675,-3.9997243,1.9999936499200002,70.0,402.45439362635085,-139.65904791379944,-49.79110512844133,11.805379,34.825287,50.01833333333333,-4.005,290.34095208620056
2025-04-20 21:27:41,50.017080883333335,-3.9997046333333333,1.9999936499200002,73.4,403.61452302812535,-143.18969280645595,-50.84781336780482,12.092595,35.30065,50.01833333333333,-4.005,290.21030719354405
2025-04-20 21:27:45,50.01708873333333,-3.9996495833333334,2.099993332416,81.5,407.01372444388335,-151.59658931636596,-53.43821603546339,12.405852,35.13738,50.01833333333333,-4.005,289.90341068363404
2025-04-20 21:27:50,50.01709066666667,-3.9995727333333333,2.099993332416,93.3,412.1143544282465,-163.68484261269526,-56.162811792603456,12.40702,35.136932,50.01833333333333,-4.005,289.61515738730475
2025-04-20 21:27:52,50.01708918333333,-3.9995493,1.9999936499200002,97.5,413.74888760699105,-167.9412067240172,-56.78882518944869,12.125079,34.987946,50.01833333333333,-4.005,289.5587932759828
2025-04-20 21:27:53,50.01708715,-3.999528766666667,1.9999936499200002,100.4,415.2087445954022,-170.879608974837,-57.2648961102528,12.407046,35.136944,50.01833333333333,-4.005,289.520391025163
2025-04-20 21:27:55,50.017084,-3.9995064666666664,1.9999936499200002,104.0,416.8293851344872,-174.50742547771472,-57.68889436540618,12.202039,35.03349,50.01833333333333,-4.005,289.4925745222853
2025-04-20 21:27:56,50.017080316666664,-3.9994857666666666,1.9999936499200002,107.5,418.36201212215764,-178.0221384686081,-58.00745521778528,12.407308,35.13696,50.01833333333333,-4.005,289.4778615313919
2025-04-20 21:27:59,50.01707111666666,-3.9994472500000002,1.9999936499200002,113.8,421.30090766923803,175.68426506829894,-58.368402438054055,-16.350666,32.086914,50.01833333333333,-4.005,289.48426506829895
2025-04-20 21:28:04,50.017051933333335,-3.9993806666666667,1.9999936499200002,110.0,426.5033263305337,179.54135712556172,-58.668393893331974,-16.350666,32.086914,50.01833333333333,-4.005,289.5413571255617
2025-04-20 21:28:07,50.01704465,-3.999342566666667,1.8999939674239998,103.0,429.34284197363354,-173.4782965317732,-59.204953354159464,12.1793785,35.02063,50.01833333333333,-4.005,289.5217034682268
2025-04-20 21:28:08,50.01704225,-3.99932385,1.9999936499200002,100.5,430.69399564578765,-171.00429879485762,-59.58490890487927,12.406987,35.136917,50.01833333333333,-4.005,289.4957012051424
2025-04-20 21:28:10,50.01703935,-3.9993005999999998,1.9999936499200002,102.2,432.36951732517315,-172.73750340275393,-60.06492456745911,12.047822,34.93765,50.01833333333333,-4.005,289.46249659724606
2025-04-20 21:28:11,50.017036266666665,-3.9992808166666665,1.9999936499200002,104.8,433.8181368757552,-175.35701809210587,-60.41253909657099,12.407014,35.136932,50.01833333333333,-4.005,289.44298190789414
2025-04-20 21:28:13,50.01703191666667,-3.9992580666666666,1.9999936499200002,109.0,435.5138286306442,-179.5681898125049,-60.73282409487052,12.028784,34.924526,50.01833333333333,-4.005,289.4318101874951
2025-04-20 21:28:14,50.01702736666667,-3.9992391166666668,1.9999936499200002,111.8,436.9606075134042,177.63532617536487,-60.90807207171808,-16.35066,32.086914,50.01833333333333,-4.005,289.4353261753649
2025-04-20 21:28:17,50.017016733333335,-3.9992010666666666,1.9999936499200002,113.2,439.9211316204258,176.2627870283606,-61.112034077302866,-16.35065,32.08691,50.01833333333333,-4.005,289.4627870283606
2025-04-20 21:28:19,50.01701118333333,-3.99917935,1.9999936499200002,109.5,441.59161006380964,179.97122966571362,-61.279703100946,-16.350657,32.086914,50.01833333333333,-4.005,289.4712296657136
2025-04-20 21:28:20,50.01700623333333,-3.9991549,1.9999936499200002,105.8,443.4241663060645,-176.33694989219015,-61.59675945253289,12.406955,35.1369,50.01833333333333,-4.005,289.46305010780986
2025-04-20 21:28:22,50.01700315,-3.9991356666666666,1.9999936499200002,102.9,444.83568744470114,-173.45429474104813,-61.92624151376547,11.949106,34.86636,50.01833333333333,-4.005,289.4457052589519
2025-04-20 21:28:23,50.017000116666665,-3.9991157166666667,1.9999936499200002,104.0,446.2937421223029,-174.57439224570226,-62.28429026786924,12.406872,35.136868,50.01833333333333,-4.005,289.42560775429774
2025-04-20 21:28:27,50.01698903333333,-3.9990625833333335,1.9999936499200002,112.5,450.2883385983287,176.91286584053876,-62.9410656259449,-16.350494,32.086864,50.01833333333333,-4.005,289.41286584053876
