Time,Lat,Lon,Speed (knots),Heading (deg),Distance to WP (m),Heading Error (deg),XTE (m),RZ Thrust,Forward Thrust,WP Lat,WP Lon,Bearing to WP
2025-04-16 00:35:51,50.016669783333334,-3.99999775,0.299999047488,50.8,0.38245761039609116,154.0858142575783,0.12001405906142254,75.82694017611605,10.689623745159663,50.016666666666666,-4.0,204.8858142575783
2025-04-16 00:35:55,50.01667245,-3.9999906166666666,0.299999047488,64.9,38.43965550244301,-69.45914965551026,-0.7092611094462271,85.22745949936264,0.006735866861502425,50.01701666666666,-4.0000333333333336,355.4408503444898
2025-04-16 00:35:58,50.01667428333333,-3.999985,0.299999047488,67.8,38.2704194785159,-72.98302831385462,-1.122737047358017,88.0585982131899,2.1649560199394724,50.01701666666666,-4.0000333333333336,354.8169716861454
2025-04-16 00:35:59,50.01667475,-3.9999818,0.299999047488,86.6,38.24006842742272,-92.13161608996484,-1.3543787678707837,100,4.66664422444917,50.01701666666666,-4.0000333333333336,354.4683839100352
2025-04-16 00:36:01,50.016674316666666,-3.9999778,0.49999841248000004,111.3,38.316686825451505,-117.25051251201455,-1.6370179317172533,100,7.146746847830313,50.01701666666666,-4.0000333333333336,354.04948748798546
2025-04-16 00:36:02,50.0166718,-3.9999729166666667,0.599998094976,143.7,38.63285549147724,-150.12269724674428,-1.96855797733278,100,13.734082410710796,50.01701666666666,-4.0000333333333336,353.5773027532557
2025-04-16 00:36:04,50.01666648333333,-3.9999697333333333,0.899997142464,172.5,39.24678744245578,-179.1563775854297,-2.159685062270466,100,16.433908382654604,50.01701666666666,-4.0000333333333336,353.3436224145703
2025-04-16 00:36:05,50.01665846666667,-3.9999704666666664,1.199996189952,194.4,40.12740425157138,159.16571707717154,-2.0528170865703173,100,12.574402279654548,50.01701666666666,-4.0000333333333336,353.56571707717154
2025-04-16 00:36:07,50.0166497,-3.9999769333333335,1.399995554944,214.2,41.04926565126367,140.1599507624258,-1.5315098877953481,100,9.615871396396185,50.01701666666666,-4.0000333333333336,354.3599507624258
2025-04-16 00:36:10,50.01663918333333,-3.9999980833333333,1.299995872448,249.5,42.096831628526786,107.06618178393069,0.0500341583151862,100,5.484537546120405,50.01701666666666,-4.0000333333333336,356.5661817839307
2025-04-16 00:36:11,50.0166372,-4.00001275,1.299995872448,265.2,42.26768673819707,92.80380635916015,1.1106676524471268,100,3.448043241890657,50.01701666666666,-4.0000333333333336,358.00380635916014
